hr,bpSys,bpDia,resp,temp,spo2
110.63,87.85,80.61,27.09,38.51,90.04
106.49,86.69,72.99,29.5,38.25,89.31
106.41,94.47,78.53,28.5,38.37,90.28
105.82,100.73,74.06,26.62,38.63,90.41
109.07,89.35,80.22,25.71,38.69,92.21
107.21,83.15,79.56,31.16,38.34,91.64
118.39,87.23,82.84,29.26,38.42,89.8
107.09,84.93,76.75,23.55,38.51,89.23
111.17,82.22,81.65,27.67,38.1,90.37
116.14,83.95,88.36,26.84,38.36,89.94
112.79,90.38,82.69,24.16,38.53,88.59
109.44,85.48,76.32,28.47,38.72,90.61
104.54,88.42,86.07,26.28,38.96,90.39
110.96,88.45,80.67,25.7,38.64,90.96
106.07,83.34,70.82,27.02,38.28,87.85
111.94,102.46,79.97,27.68,38.52,89.9
114.6,88.55,81.34,26.64,38.37,90.99
109.13,86.22,82.68,24.2,38.51,89.99
115.43,92.37,79.87,27.64,38.78,90.56
110.05,83.44,74.67,25.39,38.38,89.81
110.28,92.65,79.65,26.97,38.51,88.02
105.3,89.28,73.95,27.2,38.81,91.22
108.93,97.45,80.74,25.33,38.38,89.7
108.06,90.85,80.8,26.01,38.59,91.19
114.75,82.58,67.23,27.87,38.23,89.78
104.15,80.99,82.71,27.52,38.38,87.41
107.27,91.96,72.61,26.37,38.5,90.58
110.6,85.13,85.98,25.68,38.49,89.07
107.78,85.58,79.14,29.42,38.23,88.39
117.36,88.95,76.65,28.08,38.38,91.83
113.39,87.56,90.79,24.79,38.65,90.3
116.51,97.81,80.16,24.49,38.59,89.32
120.07,90.68,78.17,26.37,38.23,89.03
116.0,86.72,74.77,27.07,38.74,90.72
114.98,86.22,72.89,29.0,38.44,89.75
116.64,92.78,82.28,30.33,38.37,90.93
110.29,91.34,87.64,27.02,38.61,91.07
108.18,85.8,74.78,22.07,38.91,88.9
108.89,88.62,81.54,27.63,38.67,89.42
109.16,91.41,78.76,29.21,38.6,90.73
113.31,95.87,80.91,23.41,38.58,89.35
107.36,92.93,86.19,26.04,38.56,91.7
111.2,103.01,82.83,22.48,38.65,90.38
116.45,93.37,79.31,23.55,38.46,89.15
107.1,92.94,88.35,26.79,38.26,90.44
115.98,86.95,79.33,26.03,38.34,90.65
109.4,92.1,75.56,25.13,38.64,89.63
118.63,88.0,81.12,27.87,38.22,88.24
102.37,96.31,77.24,31.12,38.39,90.18
117.71,100.03,90.31,28.42,38.7,90.59
113.89,87.24,75.91,25.99,38.47,89.55
113.48,94.78,80.44,28.96,38.27,89.81
106.42,80.67,79.59,25.76,38.8,90.63
104.88,99.27,86.11,27.16,38.45,89.04
108.14,95.44,89.42,29.09,38.4,88.88
110.7,81.16,81.62,25.7,38.41,88.41
112.57,87.34,74.15,20.26,38.49,91.77
118.31,87.71,76.99,26.94,38.3,90.3
113.83,96.13,79.5,25.59,38.32,89.17
108.87,91.84,84.57,24.39,38.8,89.73
109.89,86.26,67.88,27.77,38.65,89.72
110.33,92.58,72.19,24.94,38.66,88.75
111.47,83.22,82.33,25.93,38.18,91.16
106.33,85.95,81.0,28.3,38.3,90.06
112.14,93.47,80.88,25.27,38.33,90.09
104.64,75.39,82.18,27.81,38.03,88.99
113.1,100.29,80.1,24.54,38.46,91.37
106.77,86.0,77.59,24.09,38.52,91.62
111.62,88.74,78.54,22.87,38.68,89.92
109.1,105.97,81.49,24.5,38.41,91.15
110.57,82.81,84.6,24.66,38.87,91.08
107.76,96.41,80.34,27.71,38.6,89.15
106.78,95.15,78.33,25.19,38.31,90.42
120.31,84.66,80.12,28.82,38.48,90.45
104.69,92.14,79.06,27.97,38.74,92.59
112.9,91.63,80.97,25.29,38.57,89.7
110.84,96.59,74.97,28.28,38.76,89.88
99.39,86.96,86.48,25.95,38.3,89.5
114.2,92.73,78.81,25.27,38.42,89.08
118.08,88.39,86.09,29.04,38.7,89.57
112.02,89.88,75.48,26.65,38.26,91.19
107.68,91.01,81.42,25.48,38.62,89.53
114.36,83.27,80.63,29.88,38.3,89.32
112.57,90.9,81.75,26.98,38.63,91.11
112.05,88.79,83.36,29.8,38.47,89.03
115.54,89.4,69.14,27.69,38.39,89.91
111.66,90.95,83.55,25.13,38.6,89.74
113.69,93.08,75.32,28.17,38.39,90.81
111.84,99.19,78.88,25.3,38.5,89.7
114.0,81.92,74.73,23.86,38.69,91.71
109.48,89.16,80.35,28.32,38.31,90.24
114.88,92.51,80.95,28.0,37.96,90.68
106.73,80.85,82.56,28.75,38.47,90.95
118.06,96.57,88.2,27.48,38.52,88.4
108.77,85.78,90.85,25.65,38.52,90.55
110.22,98.48,76.89,26.39,38.35,88.68
106.94,89.81,77.85,24.62,38.22,89.92
102.48,93.8,80.41,23.08,38.44,89.25
111.6,96.7,70.62,26.23,38.47,90.67
111.07,86.24,78.4,24.41,38.72,90.02
