hr,bpSys,bpDia,resp,temp,spo2
77.48,119.31,83.24,19.05,36.45,97.77
82.9,123.84,77.65,17.09,36.41,97.53
76.21,110.43,71.38,14.88,36.3,98.31
70.46,112.94,87.33,15.55,36.51,96.58
72.28,120.55,74.25,16.75,36.38,97.71
71.99,129.26,79.93,13.88,36.66,96.78
76.04,110.2,73.36,16.39,36.65,98.17
74.42,118.49,72.61,14.56,36.41,99.06
76.72,111.18,81.62,15.23,36.36,98.61
80.15,124.66,75.8,15.38,36.57,98.98
72.6,119.07,74.47,13.61,36.66,99.36
74.64,125.02,81.81,14.71,36.57,99.54
74.82,127.82,66.9,17.64,36.52,97.7
75.46,110.06,78.9,16.71,36.8,97.48
70.96,117.49,84.58,16.66,36.39,98.51
75.49,124.84,76.49,15.34,36.42,96.54
76.48,121.31,80.03,15.53,36.22,97.58
73.29,115.99,79.19,16.81,36.88,98.17
76.29,119.63,70.41,15.95,36.51,100.0
74.04,121.51,79.83,13.66,36.73,98.75
78.96,115.45,87.01,13.2,36.62,100.0
70.05,117.17,80.5,14.99,36.19,98.07
69.69,122.37,75.4,19.1,36.34,97.68
79.07,113.85,81.14,18.61,36.18,98.18
76.3,123.91,73.82,13.36,36.6,98.3
76.25,121.73,76.6,16.46,36.56,97.29
84.33,122.37,74.04,17.31,36.31,98.79
80.79,115.9,84.82,16.83,36.66,99.9
73.77,116.23,75.55,14.37,36.48,98.34
76.38,124.14,80.07,18.91,36.45,100.0
78.13,115.71,74.65,16.96,36.46,98.71
77.37,119.64,75.77,12.97,36.41,98.86
76.07,113.77,80.87,16.77,36.32,98.15
75.29,114.29,81.79,17.12,36.72,99.05
68.11,115.31,82.58,17.03,36.6,100.0
77.85,125.68,84.77,17.3,36.44,98.76
71.14,118.82,77.57,16.16,36.96,96.13
78.43,111.94,77.64,18.18,36.51,96.92
71.42,123.4,76.35,16.43,36.51,97.35
85.72,123.17,69.87,16.37,36.37,98.85
71.04,119.43,82.52,17.73,36.26,97.67
72.63,116.73,88.83,16.81,36.25,98.92
85.61,125.16,72.4,15.03,36.75,97.29
77.22,123.87,75.37,15.88,35.85,96.98
73.74,113.76,88.16,13.14,36.41,98.13
82.21,112.82,85.82,16.02,36.3,98.46
76.0,117.0,80.35,15.23,36.52,98.66
82.93,113.81,90.67,12.1,36.47,98.59
76.4,116.89,78.96,15.01,36.38,98.85
76.79,116.54,84.5,16.61,36.66,98.63
70.86,117.2,83.74,17.22,36.5,98.12
81.39,117.04,82.74,15.6,36.46,99.1
79.13,124.07,86.53,16.04,36.64,97.69
76.62,119.35,80.48,17.19,36.34,100.0
69.97,113.93,85.79,17.58,36.62,98.63
74.94,115.51,80.38,14.65,36.7,97.85
70.87,118.39,82.06,14.87,36.34,98.24
76.22,117.47,77.64,16.46,36.21,96.59
71.41,118.93,81.55,18.95,36.67,97.84
74.9,114.99,79.91,15.42,36.56,97.17
77.6,127.66,79.46,16.8,36.64,97.6
76.12,120.06,80.49,14.45,36.5,98.5
82.26,124.8,90.77,14.47,36.67,98.18
85.95,115.96,75.8,14.8,36.08,97.47
71.2,120.75,81.71,19.75,36.69,97.42
70.51,122.46,73.4,19.66,36.74,97.53
66.43,126.77,79.43,18.48,36.18,97.4
75.03,120.23,77.75,17.25,36.29,97.86
75.6,122.57,83.56,13.75,36.19,99.28
76.66,116.26,87.76,16.23,36.74,98.07
85.3,128.78,78.76,17.94,36.63,99.37
70.18,123.43,85.29,12.48,36.26,95.96
73.65,123.59,87.51,16.15,36.83,96.62
66.48,119.72,81.92,15.93,36.09,97.91
68.48,123.35,81.83,14.12,36.4,96.94
74.69,124.78,75.07,17.01,36.39,97.21
74.46,114.82,77.23,13.6,36.89,98.04
71.5,121.07,79.44,15.56,36.62,98.76
72.35,117.12,78.62,11.4,36.2,99.37
83.22,118.75,82.88,16.62,37.12,99.12
74.36,115.22,71.97,16.41,36.35,96.58
71.77,114.59,88.44,17.76,36.5,99.48
75.39,115.69,87.62,17.08,36.29,97.81
70.62,113.09,84.63,19.82,36.22,98.56
71.75,117.56,77.04,14.27,36.51,97.17
76.35,119.75,78.81,14.18,36.38,98.76
77.5,115.11,80.5,17.5,36.17,98.54
71.69,122.85,76.18,12.39,36.17,98.05
76.3,115.48,83.19,12.68,36.49,96.79
71.74,120.24,75.7,15.23,36.7,97.42
79.18,114.35,82.65,18.88,36.01,97.2
77.89,118.98,81.86,14.79,36.52,97.84
80.84,121.27,81.69,15.18,36.4,97.57
76.97,117.9,81.45,20.15,36.67,97.67
81.01,117.96,69.81,13.98,36.13,97.65
75.09,128.38,81.63,15.56,36.67,95.79
76.18,123.85,72.61,18.29,36.57,97.58
78.16,131.35,80.91,16.5,36.41,97.15
79.15,115.72,80.36,15.04,36.6,98.33
80.19,117.45,78.65,14.04,36.41,98.38
