hr,bpSys,bpDia,resp,temp,spo2
93.78,105.39,84.35,18.71,37.58,96.88
86.13,103.78,71.11,18.99,37.63,94.94
91.4,104.37,92.23,16.26,37.52,95.73
92.41,111.12,76.05,16.94,37.88,96.35
97.97,107.44,75.05,15.75,37.51,96.09
81.54,117.65,79.21,15.15,37.3,93.35
94.12,110.37,73.55,13.41,37.43,96.67
88.7,102.48,78.77,15.45,36.96,94.95
88.85,113.48,89.24,18.25,37.45,93.89
102.87,110.3,80.07,15.95,37.54,94.86
87.13,107.27,79.84,14.91,37.36,95.11
88.73,117.52,66.75,18.18,37.75,92.93
88.29,108.14,72.96,14.44,37.28,96.75
94.68,116.36,83.61,13.74,37.4,95.49
83.89,113.56,78.8,15.25,37.64,95.44
88.2,115.8,74.59,17.23,37.62,94.69
91.63,103.74,84.62,15.63,37.4,96.05
86.48,102.96,72.22,17.21,37.24,96.75
79.59,118.48,81.06,15.81,37.39,95.4
89.81,115.52,80.57,16.3,37.43,94.94
91.54,101.45,73.26,17.49,37.53,94.82
90.09,111.74,77.3,14.44,37.54,94.02
92.04,101.49,85.15,16.95,37.55,95.98
98.33,115.07,70.8,13.44,37.38,95.03
92.59,106.37,80.93,14.49,37.38,93.59
85.38,103.24,75.12,18.11,37.31,97.63
92.47,110.92,75.71,17.4,37.38,95.12
102.8,109.52,85.75,14.59,37.49,96.77
86.87,119.06,83.54,14.88,37.63,95.97
93.11,102.15,76.36,15.5,37.49,95.62
90.89,103.32,81.9,17.22,37.61,96.08
94.17,112.3,79.65,12.68,37.59,95.21
91.36,103.62,74.59,18.11,37.49,95.68
90.14,110.15,84.69,14.97,37.52,94.54
87.83,108.45,81.11,15.04,37.75,94.11
89.07,107.8,87.23,16.39,37.71,93.51
91.34,114.45,80.41,18.13,37.4,96.41
101.49,108.19,77.77,18.91,37.82,94.48
87.9,108.59,73.28,14.16,37.3,94.23
89.83,111.17,87.75,14.0,37.7,94.79
89.75,113.37,74.39,16.76,37.53,95.49
91.45,122.28,76.81,14.94,37.38,94.44
86.81,115.95,87.1,14.86,37.33,95.47
87.24,113.16,81.01,12.97,37.81,96.8
86.94,108.06,81.43,16.67,37.63,97.01
89.12,106.01,73.1,14.54,37.49,96.79
87.41,111.12,79.92,18.38,38.01,94.47
87.55,115.22,83.41,19.69,37.62,94.64
92.95,115.54,84.1,17.01,37.71,96.17
96.91,113.24,79.16,16.29,37.74,94.18
91.84,108.03,80.14,18.56,37.54,95.05
83.2,113.73,83.23,20.33,37.44,95.22
91.25,117.89,79.52,16.56,37.62,95.19
87.77,110.97,85.37,13.95,37.53,94.3
95.98,102.38,77.21,16.75,37.81,94.93
87.22,119.41,72.76,11.6,37.59,94.5
84.89,113.54,81.22,14.87,37.24,95.87
93.25,109.5,89.23,13.86,37.19,94.31
89.77,111.22,78.79,16.7,37.25,96.44
89.59,115.59,81.71,16.91,37.61,95.45
93.21,116.65,80.98,17.42,37.48,96.44
86.62,119.0,79.8,13.14,37.53,94.32
94.2,106.74,77.77,12.22,37.41,92.58
82.08,113.8,83.93,16.85,37.31,94.95
89.98,104.21,87.52,17.75,37.46,95.03
91.04,99.79,78.76,14.64,37.3,94.72
98.99,113.2,77.14,17.15,37.78,95.92
90.3,106.77,83.49,16.79,37.68,95.64
95.25,107.32,86.59,16.4,37.92,94.31
98.68,110.99,76.74,15.03,37.44,95.42
92.61,107.13,79.88,20.28,37.85,95.44
90.19,110.6,83.07,13.95,37.45,93.33
92.0,113.24,77.58,19.15,37.25,93.54
91.12,115.24,88.42,15.08,37.72,94.96
89.14,114.42,83.26,12.85,37.8,96.38
86.87,111.98,82.47,16.52,37.39,94.33
89.87,115.86,82.72,15.26,37.65,92.15
95.74,101.3,78.19,13.76,37.24,96.16
87.66,111.73,79.77,16.95,37.52,93.72
94.98,107.53,72.22,15.14,37.8,95.85
88.26,108.25,78.39,20.15,37.58,95.43
95.15,111.19,78.7,15.61,37.49,94.96
93.64,110.26,83.66,15.84,37.52,93.0
94.58,111.73,84.99,10.21,37.92,94.86
95.54,104.8,83.06,13.89,37.38,96.91
89.05,111.09,84.35,16.99,37.53,95.36
102.02,109.71,81.01,18.1,37.72,96.19
93.19,104.28,88.17,13.71,37.56,94.25
89.68,111.64,81.61,16.84,37.82,95.45
88.78,114.82,85.95,13.54,37.62,95.7
88.51,116.88,79.25,16.25,37.47,95.02
84.52,102.8,87.97,14.31,37.3,92.85
86.81,103.38,88.21,18.02,37.36,97.25
94.91,108.38,67.5,20.58,37.22,93.35
95.11,122.2,86.92,17.13,37.62,95.85
93.79,111.41,80.52,15.87,37.35,94.72
81.54,109.51,75.06,13.79,37.54,96.39
94.59,102.15,75.05,17.88,37.3,94.78
92.75,105.16,80.53,13.33,37.38,95.32
82.04,112.2,79.9,17.1,37.54,96.36
