hr,bpSys,bpDia,resp,temp,spo2
76.0,122.0,80.0,16.0,36.5,98.5
76.72,121.89,80.49,16.31,36.52,98.47
77.26,121.57,80.93,16.57,36.55,98.39
77.5,121.08,81.26,16.75,36.57,98.27
77.36,120.47,81.46,16.8,36.58,98.12
76.9,119.81,81.49,16.73,36.59,97.95
76.21,119.17,81.36,16.54,36.6,97.79
75.47,118.62,81.08,16.27,36.6,97.65
74.86,118.22,80.69,15.95,36.59,97.56
74.53,118.02,80.21,15.65,36.58,97.51
74.56,118.04,79.71,15.39,36.56,97.51
74.94,118.27,79.25,15.24,36.54,97.57
75.58,118.69,78.86,15.2,36.51,97.67
76.32,119.26,78.61,15.29,36.49,97.81
76.99,119.91,78.5,15.49,36.46,97.98
82.78,118.52,78.94,17.56,36.73,96.7
82.37,117.07,78.7,17.88,36.75,96.4
82.27,115.67,78.23,18.05,36.78,96.46
83.24,114.49,77.55,18.1,36.86,96.62
85.04,113.65,76.78,18.1,36.96,96.54
86.67,113.17,76.03,18.1,37.07,96.09
87.29,113.0,75.41,18.19,37.13,95.5
86.99,113.01,75.0,18.4,37.15,95.1
86.7,113.01,74.84,18.76,37.17,95.07
87.34,112.84,74.89,19.25,37.23,95.24
88.98,112.35,75.08,19.82,37.34,95.25
90.77,111.5,75.28,20.39,37.45,94.9
91.72,110.32,75.38,20.91,37.52,94.31
91.61,108.92,75.28,21.31,37.55,93.83
91.2,107.47,74.93,21.56,37.57,93.7
96.52,102.09,72.65,21.52,37.44,94.08
98.68,100.4,71.49,21.74,37.57,94.03
101.4,98.99,70.28,21.91,37.72,93.56
103.36,97.87,69.15,22.14,37.84,92.71
103.94,96.96,68.18,22.52,37.9,91.86
103.79,96.12,67.45,23.08,37.94,91.41
104.23,95.22,66.96,23.83,38.0,91.36
106.03,94.13,66.66,24.73,38.11,91.38
108.73,92.76,66.44,25.69,38.26,91.05
111.02,91.1,66.18,26.63,38.39,90.28
111.97,89.2,65.77,27.44,38.47,89.38
111.9,87.19,65.14,28.08,38.51,88.79
112.05,85.2,64.27,28.53,38.56,88.66
113.47,83.37,63.19,28.81,38.66,88.71
116.03,81.8,61.99,28.99,38.8,88.5
